LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS50M_MIN,WS10M_MIN,ALLSKY_SFC_LW_DWN
14.10001,77.28001,1997,5,17,0,0.013588,46.95,94.27,32.27,17.72,17.72,38.22,23.76,30.43,5.62,7.2,9.25,11.64,4.64,2.89,10.14
14.10001,77.28001,1997,5,18,0,0.012641,43.68,94.23,32.28,16.41,16.41,38.87,23.36,30.43,8,10.01,9.89,12.7,7.9,5.09,9.92
14.10001,77.28001,1997,5,19,0,0.011784,42.49,94.33,31.62,15.31,15.31,38.38,21.97,29.72,8.06,10.11,9.44,11.72,8.79,5.25,9.6
14.10001,77.28001,1997,5,20,0,0.011516,40.44,94.4,32.29,15.03,15.03,39.08,22.36,30.19,7.38,9.23,9.29,11.84,6.36,3.73,10.61
14.10001,77.28001,1997,5,21,0,0.011501,39.48,94.46,33.21,15.12,15.12,38.87,22.03,30.6,6.19,7.79,8.87,11.23,4.25,2.39,10.19
14.10001,77.28001,1997,5,22,0.69,0.012099,40.51,94.48,33.62,15.99,15.99,38.75,23.3,31.04,4.92,6.28,7.14,9.24,3.26,2.1,9.82
14.10001,77.28001,1997,5,23,0.68,0.012744,42.14,94.47,33.8,16.68,16.68,39.01,23.74,31.25,5.25,6.68,7.33,9.72,4.12,2.21,10.29
14.10001,77.28001,1997,5,24,0.22,0.012276,40.27,94.47,33.95,15.95,15.95,38.41,25.01,31.4,4.13,5.32,7.87,10.02,2.1,1.44,10.36
14.10001,77.28001,1997,5,25,0,0.012049,37.68,94.45,34.7,15.64,15.64,40.11,24.83,32.24,5.08,6.23,7.64,9.73,1.35,0.83,10.29
14.10001,77.28001,1997,5,26,0.01,0.011357,35.28,94.48,35.2,14.62,14.63,40.15,24.73,32.37,5.02,6.33,7.56,9.74,3.61,2.09,10.33
14.10001,77.28001,1997,5,27,0.72,0.012278,39.81,94.56,34.55,16.04,16.04,39.14,24.7,31.62,5.3,6.55,7.91,9.93,2.12,1.88,9.94
14.10001,77.28001,1997,5,28,0.48,0.012483,40.37,94.62,34.51,16.34,16.34,39.43,24.66,31.67,6.48,7.94,9.31,11.62,4.79,4.2,9.66
14.10001,77.28001,1997,5,29,0.01,0.011913,39.34,94.56,33.79,15.58,15.58,39.73,23.17,31.3,6.91,8.68,9.01,11.26,5.98,3.07,8.87
14.10001,77.28001,1997,5,30,0,0.010993,35.16,94.45,34.47,14.15,14.15,40.23,24.25,31.85,5.37,6.8,8.02,10.64,4.22,2.51,9.12
14.10001,77.28001,1997,5,31,0,0.011107,35.67,94.56,34.47,14.33,14.33,39.9,23.83,31.8,6.14,7.75,9,11.46,5.15,2.81,9.26
14.10001,77.28001,1997,6,1,0,0.010757,35.16,94.63,34.38,13.81,13.81,39.66,23.4,31.5,5.94,7.54,8.18,10.31,5.3,3.09,9.68
14.10001,77.28001,1997,6,2,0,0.011636,38.79,94.65,34.17,15.3,15.3,38.98,22.83,31.15,6.08,7.48,7.51,9.69,5.92,5,9.92
14.10001,77.28001,1997,6,3,0,0.012688,42.21,94.68,34.18,16.68,16.68,38.12,24.3,31.18,5.81,7.1,7.22,9.04,5.42,4.82,10.34
14.10001,77.28001,1997,6,4,0.31,0.013215,47.09,94.77,32.87,17.37,17.37,35.36,24.94,29.99,4.38,5.42,7.64,9.7,2.39,2,10.31
14.10001,77.28001,1997,6,5,0.28,0.013233,48.58,94.68,32.05,17.39,17.39,35.53,23.84,29.46,4.96,6.04,7.59,9.51,3.67,2.73,9.85
14.10001,77.28001,1997,6,6,0.66,0.013547,48.26,94.58,33.11,17.78,17.78,35.73,24.23,29.95,4.59,5.56,6.65,8.18,3.29,2.69,10.15
14.10001,77.28001,1997,6,7,0.08,0.015065,58.94,94.67,30.5,19.54,19.54,32.77,24.39,28.33,4.67,5.56,6.79,8.4,3.25,3.06,10.44
14.10001,77.28001,1997,6,8,2.75,0.015123,66.61,94.76,27.98,19.61,19.61,30.02,23.75,26.32,4.72,5.54,6.21,7.25,3.17,2.56,10.07
14.10001,77.28001,1997,6,9,1.23,0.014634,61.62,94.74,28.71,19.04,19.04,31.88,23.41,27.09,3.97,5.13,6.47,7.64,3.03,1.74,9.93
